source,periodType,date,instrument,period,uom,value
GFI,M,2026-08-14,TD25,2027-02-01,PMT,50.5
GFI,M,2026-08-14,TD25,2027-03-01,PMT,50.5
GFI,Q,2026-08-14,TD25,2026-10-01,PMT,62.26
GFI,Q,2026-08-14,TD25,2027-01-01,PMT,50.5
GFI,Q,2026-08-14,TD25,2027-04-01,PMT,43.0
GFI,Q,2026-08-14,TD25,2027-07-01,PMT,38.5
GFI,Q,2026-08-14,TD25,2027-10-01,PMT,42.0
GFI,Q,2026-08-14,TD25,2028-01-01,PMT,37.0
GFI,Q,2026-08-14,TD25,2028-04-01,PMT,35.0
GFI,A,2026-08-14,TD25,2027-01-01,PMT,43.5
GFI,A,2026-08-14,TD25,2028-01-01,PMT,35.0
GFI,A,2026-08-14,TD25,2029-01-01,PMT,32.0
GFI,BAL,2026-08-14,TD28,2026-08-01,PMT,33.57
GFI,M,2026-08-14,TD28,2026-08-01,PMT,36.25
GFI,M,2026-08-14,TD28,2026-09-01,PMT,35.0
GFI,M,2026-08-14,TD28,2026-10-01,PMT,37.5
GFI,M,2026-08-14,TD28,2026-11-01,PMT,41.25
GFI,M,2026-08-14,TD28,2026-12-01,PMT,45.0
GFI,M,2026-08-14,TD28,2027-01-01,PMT,32.5
GFI,M,2026-08-14,TD28,2027-02-01,PMT,32.5
GFI,M,2026-08-14,TD28,2027-03-01,PMT,32.5
GFI,Q,2026-08-14,TD28,2026-10-01,PMT,41.25
GFI,Q,2026-08-14,TD28,2027-01-01,PMT,32.5
GFI,Q,2026-08-14,TD28,2027-04-01,PMT,28.75
GFI,Q,2026-08-14,TD28,2027-07-01,PMT,27.5
GFI,Q,2026-08-14,TD28,2027-10-01,PMT,31.25
GFI,Q,2026-08-14,TD28,2028-01-01,PMT,33.75
GFI,Q,2026-08-14,TD28,2028-04-01,PMT,28.75
GFI,A,2026-08-14,TD28,2027-01-01,PMT,30.0
GFI,A,2026-08-14,TD28,2028-01-01,PMT,28.75
GFI,A,2026-08-14,TD28,2029-01-01,PMT,27.5
GFI,WSFR,2026-08-14,TD3C,2026-08-01,WSFR,20.21
GFI,WSFR,2026-08-14,TD20,2026-08-01,WSFR,17.72
GFI,WSFR,2026-08-14,TD7,2026-08-01,WSFR,10.13
GFI,WSFR,2026-08-14,TD8,2026-08-01,WSFR,13.99
GFI,WSFR,2026-08-14,TD19,2026-08-01,WSFR,12.04
GFI,WSFR,2026-08-14,USG Afra Exc,2026-08-01,WSFR,21.01
GFI,WSFR,2026-08-14,USG Afra Inc,2026-08-01,WSFR,21.01
GFI,WSFR,2026-08-14,TD25,2026-08-01,WSFR,21.47
GFI,BITR,2026-08-14,TD3C,2026-08-01,WSC,481.67
GFI,BITR,2026-08-14,TD7,2026-08-01,WSC,201.67
GFI,BITR,2026-08-14,TD8,2026-08-01,WSC,335.0
GFI,BITR,2026-08-14,TD19,2026-08-01,WSC,225.22
GFI,BITR,2026-08-14,TD20,2026-08-01,WSC,259.83
GFI,BITR,2026-08-14,TD22,2026-08-01,LSM,18.55
GFI,BITR,2026-08-14,TD25,2026-08-01,WSC,369.44
GFI,BAL,2026-08-17,TD3C,2026-08-01,WSC,470.19
GFI,M,2026-08-17,TD3C,2026-08-01,WSC,470.0
GFI,M,2026-08-17,TD3C,2026-09-01,WSC,485.0
GFI,M,2026-08-17,TD3C,2026-10-01,WSC,468.75
GFI,M,2026-08-17,TD3C,2026-11-01,WSC,441.25
GFI,M,2026-08-17,TD3C,2026-12-01,WSC,410.0
GFI,M,2026-08-17,TD3C,2027-01-01,WSC,430.48
GFI,M,2026-08-17,TD3C,2027-02-01,WSC,390.9
GFI,M,2026-08-17,TD3C,2027-03-01,WSC,366.16
GFI,Q,2026-08-17,TD3C,2026-10-01,WSC,440.0
GFI,Q,2026-08-17,TD3C,2027-01-01,WSC,395.84
GFI,Q,2026-08-17,TD3C,2027-04-01,WSC,311.73
GFI,Q,2026-08-17,TD3C,2027-07-01,WSC,192.97
GFI,Q,2026-08-17,TD3C,2027-10-01,WSC,202.87
GFI,Q,2026-08-17,TD3C,2028-01-01,WSC,123.7
GFI,Q,2026-08-17,TD3C,2028-04-01,WSC,113.81
GFI,A,2026-08-17,TD3C,2027-01-01,WSC,275.85
GFI,A,2026-08-17,TD3C,2028-01-01,WSC,113.81
GFI,A,2026-08-17,TD3C,2029-01-01,WSC,91.54
GFI,BAL,2026-08-17,TD20,2026-08-01,WSC,299.22
GFI,M,2026-08-17,TD20,2026-08-01,WSC,250.0
GFI,M,2026-08-17,TD20,2026-09-01,WSC,289.5
GFI,M,2026-08-17,TD20,2026-10-01,WSC,254.0
GFI,M,2026-08-17,TD20,2026-11-01,WSC,242.0
GFI,M,2026-08-17,TD20,2026-12-01,WSC,230.0
GFI,M,2026-08-17,TD20,2027-01-01,WSC,193.28
GFI,M,2026-08-17,TD20,2027-02-01,WSC,173.53
GFI,M,2026-08-17,TD20,2027-03-01,WSC,153.78
GFI,Q,2026-08-17,TD20,2026-10-01,WSC,242.0
GFI,Q,2026-08-17,TD20,2027-01-01,WSC,173.53
GFI,Q,2026-08-17,TD20,2027-04-01,WSC,134.03
GFI,Q,2026-08-17,TD20,2027-07-01,WSC,119.92
GFI,Q,2026-08-17,TD20,2027-10-01,WSC,142.49
GFI,Q,2026-08-17,TD20,2028-01-01,WSC,121.33
GFI,Q,2026-08-17,TD20,2028-04-01,WSC,110.05
GFI,A,2026-08-17,TD20,2027-01-01,WSC,142.49
GFI,A,2026-08-17,TD20,2028-01-01,WSC,110.05
GFI,A,2026-08-17,TD20,2029-01-01,WSC,91.7
GFI,BAL,2026-08-17,TD7,2026-08-01,WSC,213.29
GFI,M,2026-08-17,TD7,2026-08-01,WSC,210.0
GFI,M,2026-08-17,TD7,2026-09-01,WSC,200.0
GFI,M,2026-08-17,TD7,2026-10-01,WSC,195.0
GFI,M,2026-08-17,TD7,2026-11-01,WSC,185.0
GFI,M,2026-08-17,TD7,2026-12-01,WSC,175.0
GFI,M,2026-08-17,TD7,2027-01-01,WSC,161.9
GFI,M,2026-08-17,TD7,2027-02-01,WSC,156.96
GFI,M,2026-08-17,TD7,2027-03-01,WSC,152.02
GFI,Q,2026-08-17,TD7,2026-10-01,WSC,185.0
GFI,Q,2026-08-17,TD7,2027-01-01,WSC,156.96
GFI,Q,2026-08-17,TD7,2027-04-01,WSC,145.11
GFI,Q,2026-08-17,TD7,2027-07-01,WSC,139.19
GFI,Q,2026-08-17,TD7,2027-10-01,WSC,151.04
GFI,Q,2026-08-17,TD7,2028-01-01,WSC,148.08
GFI,Q,2026-08-17,TD7,2028-04-01,WSC,128.33
GFI,A,2026-08-17,TD7,2027-01-01,WSC,148.08
GFI,A,2026-08-17,TD7,2028-01-01,WSC,128.33
GFI,A,2026-08-17,TD7,2029-01-01,WSC,127.34
GFI,BAL,2026-08-17,TD8,2026-08-01,WSC,499.74
GFI,M,2026-08-17,TD8,2026-08-01,WSC,415.0
GFI,M,2026-08-17,TD8,2026-09-01,WSC,350.0
GFI,M,2026-08-17,TD8,2026-10-01,WSC,280.0
GFI,M,2026-08-17,TD8,2026-11-01,WSC,260.0
GFI,M,2026-08-17,TD8,2026-12-01,WSC,240.0
GFI,M,2026-08-17,TD8,2027-01-01,WSC,167.98
GFI,M,2026-08-17,TD8,2027-02-01,WSC,160.83
GFI,M,2026-08-17,TD8,2027-03-01,WSC,153.68
GFI,Q,2026-08-17,TD8,2026-10-01,WSC,260.0
GFI,Q,2026-08-17,TD8,2027-01-01,WSC,160.83
GFI,Q,2026-08-17,TD8,2027-04-01,WSC,146.53
GFI,Q,2026-08-17,TD8,2027-07-01,WSC,136.53
GFI,Q,2026-08-17,TD8,2027-10-01,WSC,151.54
GFI,Q,2026-08-17,TD8,2028-01-01,WSC,159.04
GFI,Q,2026-08-17,TD8,2028-04-01,WSC,144.75
GFI,A,2026-08-17,TD8,2027-01-01,WSC,148.86
GFI,A,2026-08-17,TD8,2028-01-01,WSC,144.75
GFI,A,2026-08-17,TD8,2029-01-01,WSC,140.81
GFI,BAL,2026-08-17,TD19,2026-08-01,WSC,254.28
GFI,M,2026-08-17,TD19,2026-08-01,WSC,240.0
GFI,M,2026-08-17,TD19,2026-09-01,WSC,200.0
GFI,M,2026-08-17,TD19,2026-10-01,WSC,165.0
GFI,M,2026-08-17,TD19,2026-11-01,WSC,153.0
GFI,M,2026-08-17,TD19,2026-12-01,WSC,150.0
GFI,M,2026-08-17,TD19,2027-01-01,WSC,130.81
GFI,M,2026-08-17,TD19,2027-02-01,WSC,122.51
GFI,M,2026-08-17,TD19,2027-03-01,WSC,114.2
GFI,Q,2026-08-17,TD19,2026-10-01,WSC,156.0
GFI,Q,2026-08-17,TD19,2027-01-01,WSC,122.51
GFI,Q,2026-08-17,TD19,2027-04-01,WSC,110.05
GFI,Q,2026-08-17,TD19,2027-07-01,WSC,107.97
GFI,Q,2026-08-17,TD19,2027-10-01,WSC,124.58
GFI,Q,2026-08-17,TD19,2028-01-01,WSC,129.15
GFI,Q,2026-08-17,TD19,2028-04-01,WSC,112.54
GFI,A,2026-08-17,TD19,2027-01-01,WSC,116.28
GFI,A,2026-08-17,TD19,2028-01-01,WSC,112.54
GFI,A,2026-08-17,TD19,2029-01-01,WSC,110.05
GFI,BAL,2026-08-17,TD22,2026-08-01,LSM,20.38
GFI,M,2026-08-17,TD22,2026-08-01,LSM,19.5
GFI,M,2026-08-17,TD22,2026-09-01,LSM,20.0
GFI,M,2026-08-17,TD22,2026-10-01,LSM,19.5
GFI,M,2026-08-17,TD22,2026-11-01,LSM,20.0
GFI,M,2026-08-17,TD22,2026-12-01,LSM,20.5
GFI,M,2026-08-17,TD22,2027-01-01,LSM,20.0
GFI,M,2026-08-17,TD22,2027-02-01,LSM,19.0
GFI,M,2026-08-17,TD22,2027-03-01,LSM,18.0
GFI,Q,2026-08-17,TD22,2026-10-01,LSM,20.0
GFI,Q,2026-08-17,TD22,2027-01-01,LSM,19.0
GFI,Q,2026-08-17,TD22,2027-04-01,LSM,16.0
GFI,Q,2026-08-17,TD22,2027-07-01,LSM,14.5
GFI,Q,2026-08-17,TD22,2027-10-01,LSM,15.5
GFI,Q,2026-08-17,TD22,2028-01-01,LSM,14.0
GFI,Q,2026-08-17,TD22,2028-04-01,LSM,12.0
GFI,A,2026-08-17,TD22,2027-01-01,LSM,16.25
GFI,A,2026-08-17,TD22,2028-01-01,LSM,12.0
GFI,A,2026-08-17,TD22,2029-01-01,LSM,11.5
GFI,BAL,2026-08-17,USG Afra Exc,2026-08-01,WSC,362.05
GFI,M,2026-08-17,USG Afra Exc,2026-08-01,WSC,345.46
GFI,M,2026-08-17,USG Afra Exc,2026-09-01,WSC,335.46
GFI,M,2026-08-17,USG Afra Exc,2026-10-01,WSC,298.46
GFI,M,2026-08-17,USG Afra Exc,2026-11-01,WSC,279.46
GFI,M,2026-08-17,USG Afra Exc,2026-12-01,WSC,263.46
GFI,M,2026-08-17,USG Afra Exc,2027-01-01,WSC,230.27
GFI,M,2026-08-17,USG Afra Exc,2027-02-01,WSC,230.27
GFI,M,2026-08-17,USG Afra Exc,2027-03-01,WSC,230.27
GFI,Q,2026-08-17,USG Afra Exc,2026-10-01,WSC,280.46
GFI,Q,2026-08-17,USG Afra Exc,2027-01-01,WSC,230.27
GFI,Q,2026-08-17,USG Afra Exc,2027-04-01,WSC,192.19
GFI,Q,2026-08-17,USG Afra Exc,2027-07-01,WSC,169.59
GFI,Q,2026-08-17,USG Afra Exc,2027-10-01,WSC,186.24
GFI,Q,2026-08-17,USG Afra Exc,2028-01-01,WSC,163.64
GFI,Q,2026-08-17,USG Afra Exc,2028-04-01,WSC,154.12
GFI,A,2026-08-17,USG Afra Exc,2027-01-01,WSC,194.57
GFI,A,2026-08-17,USG Afra Exc,2028-01-01,WSC,154.12
GFI,A,2026-08-17,USG Afra Exc,2029-01-01,WSC,137.46
GFI,BAL,2026-08-17,USG Afra Inc,2026-08-01,WSC,376.59
GFI,M,2026-08-17,USG Afra Inc,2026-08-01,WSC,360.0
GFI,M,2026-08-17,USG Afra Inc,2026-09-01,WSC,350.0
GFI,M,2026-08-17,USG Afra Inc,2026-10-01,WSC,313.0
GFI,M,2026-08-17,USG Afra Inc,2026-11-01,WSC,294.0
GFI,M,2026-08-17,USG Afra Inc,2026-12-01,WSC,278.0
GFI,M,2026-08-17,USG Afra Inc,2027-01-01,WSC,252.26
GFI,M,2026-08-17,USG Afra Inc,2027-02-01,WSC,247.5
GFI,M,2026-08-17,USG Afra Inc,2027-03-01,WSC,235.6
GFI,Q,2026-08-17,USG Afra Inc,2026-10-01,WSC,295.0
GFI,Q,2026-08-17,USG Afra Inc,2027-01-01,WSC,245.12
GFI,Q,2026-08-17,USG Afra Inc,2027-04-01,WSC,207.04
GFI,Q,2026-08-17,USG Afra Inc,2027-07-01,WSC,184.44
GFI,Q,2026-08-17,USG Afra Inc,2027-10-01,WSC,201.09
GFI,Q,2026-08-17,USG Afra Inc,2028-01-01,WSC,178.49
GFI,Q,2026-08-17,USG Afra Inc,2028-04-01,WSC,168.97
GFI,A,2026-08-17,USG Afra Inc,2027-01-01,WSC,209.42
GFI,A,2026-08-17,USG Afra Inc,2028-01-01,WSC,168.97
GFI,A,2026-08-17,USG Afra Inc,2029-01-01,WSC,152.31
GFI,BAL,2026-08-17,TD25,2026-08-01,WSC,346.73
GFI,M,2026-08-17,TD25,2026-08-01,WSC,360.0
GFI,M,2026-08-17,TD25,2026-09-01,WSC,350.0
GFI,M,2026-08-17,TD25,2026-10-01,WSC,313.0
GFI,M,2026-08-17,TD25,2026-11-01,WSC,294.0
GFI,M,2026-08-17,TD25,2026-12-01,WSC,278.0
GFI,M,2026-08-17,TD25,2027-01-01,WSC,239.87
GFI,M,2026-08-17,TD25,2027-02-01,WSC,239.87
GFI,M,2026-08-17,TD25,2027-03-01,WSC,239.87
GFI,Q,2026-08-17,TD25,2026-10-01,WSC,295.0
GFI,Q,2026-08-17,TD25,2027-01-01,WSC,239.87
GFI,Q,2026-08-17,TD25,2027-04-01,WSC,202.61
GFI,Q,2026-08-17,TD25,2027-07-01,WSC,180.48
GFI,Q,2026-08-17,TD25,2027-10-01,WSC,196.79
GFI,Q,2026-08-17,TD25,2028-01-01,WSC,174.66
GFI,Q,2026-08-17,TD25,2028-04-01,WSC,165.35
GFI,A,2026-08-17,TD25,2027-01-01,WSC,204.94
GFI,A,2026-08-17,TD25,2028-01-01,WSC,165.35
GFI,A,2026-08-17,TD25,2029-01-01,WSC,149.05
GFI,BAL,2026-08-17,TD28,2026-08-01,LSM,2.64
GFI,M,2026-08-17,TD28,2026-08-01,LSM,2.9
GFI,M,2026-08-17,TD28,2026-09-01,LSM,2.8
GFI,M,2026-08-17,TD28,2026-10-01,LSM,3.0
GFI,M,2026-08-17,TD28,2026-11-01,LSM,3.3
GFI,M,2026-08-17,TD28,2026-12-01,LSM,3.6
GFI,M,2026-08-17,TD28,2027-01-01,LSM,2.6
GFI,M,2026-08-17,TD28,2027-02-01,LSM,2.6
GFI,M,2026-08-17,TD28,2027-03-01,LSM,2.6
GFI,Q,2026-08-17,TD28,2026-10-01,LSM,3.3
GFI,Q,2026-08-17,TD28,2027-01-01,LSM,2.6
GFI,Q,2026-08-17,TD28,2027-04-01,LSM,2.3
GFI,Q,2026-08-17,TD28,2027-07-01,LSM,2.2
GFI,Q,2026-08-17,TD28,2027-10-01,LSM,2.5
GFI,Q,2026-08-17,TD28,2028-01-01,LSM,2.7
GFI,Q,2026-08-17,TD28,2028-04-01,LSM,2.3
GFI,A,2026-08-17,TD28,2027-01-01,LSM,2.4
GFI,A,2026-08-17,TD28,2028-01-01,LSM,2.3
GFI,A,2026-08-17,TD28,2029-01-01,LSM,2.2
GFI,BAL,2026-08-17,TD3C,2026-08-01,PMT,95.02
GFI,M,2026-08-17,TD3C,2026-08-01,PMT,94.99
GFI,M,2026-08-17,TD3C,2026-09-01,PMT,98.02
GFI,M,2026-08-17,TD3C,2026-10-01,PMT,94.73
GFI,M,2026-08-17,TD3C,2026-11-01,PMT,89.18
GFI,M,2026-08-17,TD3C,2026-12-01,PMT,82.86
GFI,M,2026-08-17,TD3C,2027-01-01,PMT,87.0
GFI,M,2026-08-17,TD3C,2027-02-01,PMT,79.0
GFI,M,2026-08-17,TD3C,2027-03-01,PMT,74.0
GFI,Q,2026-08-17,TD3C,2026-10-01,PMT,88.92
GFI,Q,2026-08-17,TD3C,2027-01-01,PMT,80.0
GFI,Q,2026-08-17,TD3C,2027-04-01,PMT,63.0
GFI,Q,2026-08-17,TD3C,2027-07-01,PMT,39.0
GFI,Q,2026-08-17,TD3C,2027-10-01,PMT,41.0
GFI,Q,2026-08-17,TD3C,2028-01-01,PMT,25.0
GFI,Q,2026-08-17,TD3C,2028-04-01,PMT,23.0
GFI,A,2026-08-17,TD3C,2027-01-01,PMT,55.75
GFI,A,2026-08-17,TD3C,2028-01-01,PMT,23.0
GFI,A,2026-08-17,TD3C,2029-01-01,PMT,18.5
GFI,BAL,2026-08-17,TD20,2026-08-01,PMT,53.02
GFI,M,2026-08-17,TD20,2026-08-01,PMT,44.3
GFI,M,2026-08-17,TD20,2026-09-01,PMT,51.3
GFI,M,2026-08-17,TD20,2026-10-01,PMT,45.01
GFI,M,2026-08-17,TD20,2026-11-01,PMT,42.88
GFI,M,2026-08-17,TD20,2026-12-01,PMT,40.76
GFI,M,2026-08-17,TD20,2027-01-01,PMT,34.25
GFI,M,2026-08-17,TD20,2027-02-01,PMT,30.75
GFI,M,2026-08-17,TD20,2027-03-01,PMT,27.25
GFI,Q,2026-08-17,TD20,2026-10-01,PMT,42.88
GFI,Q,2026-08-17,TD20,2027-01-01,PMT,30.75
GFI,Q,2026-08-17,TD20,2027-04-01,PMT,23.75
GFI,Q,2026-08-17,TD20,2027-07-01,PMT,21.25
GFI,Q,2026-08-17,TD20,2027-10-01,PMT,25.25
GFI,Q,2026-08-17,TD20,2028-01-01,PMT,21.5
GFI,Q,2026-08-17,TD20,2028-04-01,PMT,19.5
GFI,A,2026-08-17,TD20,2027-01-01,PMT,25.25
GFI,A,2026-08-17,TD20,2028-01-01,PMT,19.5
GFI,A,2026-08-17,TD20,2029-01-01,PMT,16.25
GFI,BAL,2026-08-17,TD7,2026-08-01,PMT,21.61
GFI,M,2026-08-17,TD7,2026-08-01,PMT,21.27
GFI,M,2026-08-17,TD7,2026-09-01,PMT,20.26
GFI,M,2026-08-17,TD7,2026-10-01,PMT,19.75
GFI,M,2026-08-17,TD7,2026-11-01,PMT,18.74
GFI,M,2026-08-17,TD7,2026-12-01,PMT,17.73
GFI,M,2026-08-17,TD7,2027-01-01,PMT,16.4
GFI,M,2026-08-17,TD7,2027-02-01,PMT,15.9
GFI,M,2026-08-17,TD7,2027-03-01,PMT,15.4
GFI,Q,2026-08-17,TD7,2026-10-01,PMT,18.74
GFI,Q,2026-08-17,TD7,2027-01-01,PMT,15.9
GFI,Q,2026-08-17,TD7,2027-04-01,PMT,14.7
GFI,Q,2026-08-17,TD7,2027-07-01,PMT,14.1
GFI,Q,2026-08-17,TD7,2027-10-01,PMT,15.3
GFI,Q,2026-08-17,TD7,2028-01-01,PMT,15.0
GFI,Q,2026-08-17,TD7,2028-04-01,PMT,13.0
GFI,A,2026-08-17,TD7,2027-01-01,PMT,15.0
GFI,A,2026-08-17,TD7,2028-01-01,PMT,13.0
GFI,A,2026-08-17,TD7,2029-01-01,PMT,12.9
GFI,BAL,2026-08-17,TD8,2026-08-01,PMT,69.91
GFI,M,2026-08-17,TD8,2026-08-01,PMT,58.06
GFI,M,2026-08-17,TD8,2026-09-01,PMT,48.96
GFI,M,2026-08-17,TD8,2026-10-01,PMT,39.17
GFI,M,2026-08-17,TD8,2026-11-01,PMT,36.37
GFI,M,2026-08-17,TD8,2026-12-01,PMT,33.58
GFI,M,2026-08-17,TD8,2027-01-01,PMT,23.5
GFI,M,2026-08-17,TD8,2027-02-01,PMT,22.5
GFI,M,2026-08-17,TD8,2027-03-01,PMT,21.5
GFI,Q,2026-08-17,TD8,2026-10-01,PMT,36.37
GFI,Q,2026-08-17,TD8,2027-01-01,PMT,22.5
GFI,Q,2026-08-17,TD8,2027-04-01,PMT,20.5
GFI,Q,2026-08-17,TD8,2027-07-01,PMT,19.1
GFI,Q,2026-08-17,TD8,2027-10-01,PMT,21.2
GFI,Q,2026-08-17,TD8,2028-01-01,PMT,22.25
GFI,Q,2026-08-17,TD8,2028-04-01,PMT,20.25
GFI,A,2026-08-17,TD8,2027-01-01,PMT,20.82
GFI,A,2026-08-17,TD8,2028-01-01,PMT,20.25
GFI,A,2026-08-17,TD8,2029-01-01,PMT,19.7
GFI,BAL,2026-08-17,TD19,2026-08-01,PMT,30.61
GFI,M,2026-08-17,TD19,2026-08-01,PMT,28.9
GFI,M,2026-08-17,TD19,2026-09-01,PMT,24.08
GFI,M,2026-08-17,TD19,2026-10-01,PMT,19.87
GFI,M,2026-08-17,TD19,2026-11-01,PMT,18.42
GFI,M,2026-08-17,TD19,2026-12-01,PMT,18.06
GFI,M,2026-08-17,TD19,2027-01-01,PMT,15.75
GFI,M,2026-08-17,TD19,2027-02-01,PMT,14.75
GFI,M,2026-08-17,TD19,2027-03-01,PMT,13.75
GFI,Q,2026-08-17,TD19,2026-10-01,PMT,18.78
GFI,Q,2026-08-17,TD19,2027-01-01,PMT,14.75
GFI,Q,2026-08-17,TD19,2027-04-01,PMT,13.25
GFI,Q,2026-08-17,TD19,2027-07-01,PMT,13.0
GFI,Q,2026-08-17,TD19,2027-10-01,PMT,15.0
GFI,Q,2026-08-17,TD19,2028-01-01,PMT,15.55
GFI,Q,2026-08-17,TD19,2028-04-01,PMT,13.55
GFI,A,2026-08-17,TD19,2027-01-01,PMT,14.0
GFI,A,2026-08-17,TD19,2028-01-01,PMT,13.55
GFI,A,2026-08-17,TD19,2029-01-01,PMT,13.25
GFI,BAL,2026-08-17,TD22,2026-08-01,PMT,75.49
GFI,M,2026-08-17,TD22,2026-08-01,PMT,72.22
GFI,M,2026-08-17,TD22,2026-09-01,PMT,74.07
GFI,M,2026-08-17,TD22,2026-10-01,PMT,72.22
GFI,M,2026-08-17,TD22,2026-11-01,PMT,74.07
GFI,M,2026-08-17,TD22,2026-12-01,PMT,75.93
GFI,M,2026-08-17,TD22,2027-01-01,PMT,74.07
GFI,M,2026-08-17,TD22,2027-02-01,PMT,70.37
GFI,M,2026-08-17,TD22,2027-03-01,PMT,66.67
GFI,Q,2026-08-17,TD22,2026-10-01,PMT,74.07
GFI,Q,2026-08-17,TD22,2027-01-01,PMT,70.37
GFI,Q,2026-08-17,TD22,2027-04-01,PMT,59.26
GFI,Q,2026-08-17,TD22,2027-07-01,PMT,53.7
GFI,Q,2026-08-17,TD22,2027-10-01,PMT,57.41
GFI,Q,2026-08-17,TD22,2028-01-01,PMT,51.85
GFI,Q,2026-08-17,TD22,2028-04-01,PMT,44.44
GFI,A,2026-08-17,TD22,2027-01-01,PMT,60.19
GFI,A,2026-08-17,TD22,2028-01-01,PMT,44.44
GFI,A,2026-08-17,TD22,2029-01-01,PMT,42.59
GFI,BAL,2026-08-17,USG Afra Exc,2026-08-01,PMT,76.07
GFI,M,2026-08-17,USG Afra Exc,2026-08-01,PMT,72.58
GFI,M,2026-08-17,USG Afra Exc,2026-09-01,PMT,70.48
GFI,M,2026-08-17,USG Afra Exc,2026-10-01,PMT,62.71
GFI,M,2026-08-17,USG Afra Exc,2026-11-01,PMT,58.71
GFI,M,2026-08-17,USG Afra Exc,2026-12-01,PMT,55.35
GFI,M,2026-08-17,USG Afra Exc,2027-01-01,PMT,48.38
GFI,M,2026-08-17,USG Afra Exc,2027-02-01,PMT,48.38
GFI,M,2026-08-17,USG Afra Exc,2027-03-01,PMT,48.38
GFI,Q,2026-08-17,USG Afra Exc,2026-10-01,PMT,58.92
GFI,Q,2026-08-17,USG Afra Exc,2027-01-01,PMT,48.38
GFI,Q,2026-08-17,USG Afra Exc,2027-04-01,PMT,40.38
GFI,Q,2026-08-17,USG Afra Exc,2027-07-01,PMT,35.63
GFI,Q,2026-08-17,USG Afra Exc,2027-10-01,PMT,39.13
GFI,Q,2026-08-17,USG Afra Exc,2028-01-01,PMT,34.38
GFI,Q,2026-08-17,USG Afra Exc,2028-04-01,PMT,32.38
GFI,A,2026-08-17,USG Afra Exc,2027-01-01,PMT,40.88
GFI,A,2026-08-17,USG Afra Exc,2028-01-01,PMT,32.38
GFI,A,2026-08-17,USG Afra Exc,2029-01-01,PMT,28.88
GFI,BAL,2026-08-17,USG Afra Inc,2026-08-01,PMT,79.12
GFI,M,2026-08-17,USG Afra Inc,2026-08-01,PMT,75.64
GFI,M,2026-08-17,USG Afra Inc,2026-09-01,PMT,73.54
GFI,M,2026-08-17,USG Afra Inc,2026-10-01,PMT,65.76
GFI,M,2026-08-17,USG Afra Inc,2026-11-01,PMT,61.77
GFI,M,2026-08-17,USG Afra Inc,2026-12-01,PMT,58.41
GFI,M,2026-08-17,USG Afra Inc,2027-01-01,PMT,53.0
GFI,M,2026-08-17,USG Afra Inc,2027-02-01,PMT,52.0
GFI,M,2026-08-17,USG Afra Inc,2027-03-01,PMT,49.5
GFI,Q,2026-08-17,USG Afra Inc,2026-10-01,PMT,61.98
GFI,Q,2026-08-17,USG Afra Inc,2027-01-01,PMT,51.5
GFI,Q,2026-08-17,USG Afra Inc,2027-04-01,PMT,43.5
GFI,Q,2026-08-17,USG Afra Inc,2027-07-01,PMT,38.75
GFI,Q,2026-08-17,USG Afra Inc,2027-10-01,PMT,42.25
GFI,Q,2026-08-17,USG Afra Inc,2028-01-01,PMT,37.5
GFI,Q,2026-08-17,USG Afra Inc,2028-04-01,PMT,35.5
GFI,A,2026-08-17,USG Afra Inc,2027-01-01,PMT,44.0
GFI,A,2026-08-17,USG Afra Inc,2028-01-01,PMT,35.5
GFI,A,2026-08-17,USG Afra Inc,2029-01-01,PMT,32.0
GFI,BAL,2026-08-17,TD25,2026-08-01,PMT,74.44
GFI,M,2026-08-17,TD25,2026-08-01,PMT,77.29
GFI,M,2026-08-17,TD25,2026-09-01,PMT,75.14
GFI,M,2026-08-17,TD25,2026-10-01,PMT,67.2
GFI,M,2026-08-17,TD25,2026-11-01,PMT,63.12
GFI,M,2026-08-17,TD25,2026-12-01,PMT,59.69
GFI,M,2026-08-17,TD25,2027-01-01,PMT,51.5
GFI,M,2026-08-17,TD25,2027-02-01,PMT,51.5
GFI,M,2026-08-17,TD25,2027-03-01,PMT,51.5
GFI,Q,2026-08-17,TD25,2026-10-01,PMT,63.34
GFI,Q,2026-08-17,TD25,2027-01-01,PMT,51.5
GFI,Q,2026-08-17,TD25,2027-04-01,PMT,43.5
GFI,Q,2026-08-17,TD25,2027-07-01,PMT,38.75
GFI,Q,2026-08-17,TD25,2027-10-01,PMT,42.25
GFI,Q,2026-08-17,TD25,2028-01-01,PMT,37.5
GFI,Q,2026-08-17,TD25,2028-04-01,PMT,35.5
GFI,A,2026-08-17,TD25,2027-01-01,PMT,44.0
GFI,A,2026-08-17,TD25,2028-01-01,PMT,35.5
GFI,A,2026-08-17,TD25,2029-01-01,PMT,32.0
GFI,BAL,2026-08-17,TD28,2026-08-01,PMT,32.96
GFI,M,2026-08-17,TD28,2026-08-01,PMT,36.25
GFI,M,2026-08-17,TD28,2026-09-01,PMT,35.0
GFI,M,2026-08-17,TD28,2026-10-01,PMT,37.5
GFI,M,2026-08-17,TD28,2026-11-01,PMT,41.25
GFI,M,2026-08-17,TD28,2026-12-01,PMT,45.0
GFI,M,2026-08-17,TD28,2027-01-01,PMT,32.5
GFI,M,2026-08-17,TD28,2027-02-01,PMT,32.5
GFI,M,2026-08-17,TD28,2027-03-01,PMT,32.5
